name,nic,phone,division
Yasas Dananjaya,864031668V,0769994143,Lunugamvehera North 271/B
Chinthaka Bandaranaike,798169647V,0716925172,Kebithigollewa North 491
Upul Lakmal,197626873494,0714879612,Thalapitiya East 471/A
Heshan Gunawardena,568666187V,0741512851,Sudukaduwa 175/C
Thilak Shanaka,200099106552,0756938696,Kothmale North
Suranga Muralitharan,897598922V,0783212256,Malimbada East 4/B
Asela Jayawardena,195739554930,0705959028,Galmulla East 642/B
Kasun Fernando,200230312356,0708038671,Aluthoya Ihala 268/B
Ruwan Dissanayake,195078809153,0716682283,Padiyathalawa Central
Gayan Dickwella,195484964598,0723647237,Welikanda Ihala 763/B
Lasantha Mathews,199266494018,0717120151,Palledeniya
Amal Bandaranaike,623635646V,0712230387,Samanthurai 760/B
Pradeep Chameera,290073070V,0765365957,Medadeniya North 840/B
Dushmantha Mathews,440303810V,0717207079,Yakkalamulla Central 122/A
Sanjeewa de Silva,196095457162,0718477777,Mahakaduwa East 152/C
Dilshan Muralitharan,624919008V,0725781278,Madurawela 99/C
Niroshan Wellalage,905328325V,0757262428,Thalakumbura Central 417/A
Lasantha Thirimanne,198056683491,0707411140,Neluwa North
Heshan Madushanka,128260449V,0743227030,Aluthtota West
Sahan Lakmal,557934503V,0755299279,Ginigoda West 660/C
Mahela Chameera,907355434V,0786258497,Nawalaoya Pahala 597/B
Dimuth Dickwella,197438647564,0767536563,Udunuwara North 754/B
Samantha Rajitha,195051597563,0755733946,Batugama South 94/A
Manjula Premadasa,557739963V,0779326268,Galnewa Central 873
Susil Hasaranga,199480059866,0715606782,Lankapura West 462/B
Dinesh Karunaratne,394153205V,0724051348,Elpitiya North 258/A
Anil Jayasuriya,196693945338,0772438898,Tangalle Pahala 551
Ruwan Premadasa,999285714V,0729525605,Padaviya West 694/B
Amal Muralitharan,470433415V,0702881850,Udahena East 616/A
Bimal Thirimanne,548230411V,0757960825,Medagedara Central 609/A
Lahiru Atapattu,196988804103,0781938823,Porativu Ihala 263/C
Yasas Karunaratne,198780935874,0775508057,Horowpothana East 749/C
Bimal Dickwella,196550907093,0719887360,Dompe Pahala 609/A
Yasas Premadasa,668572321V,0744531944,Thalakanda East 709/A
Prasanna Rajapaksa,199873060849,0782201147,Kalumulla
Gayan Samarawickrama,427491129V,0713117997,Paranatota East 165/B
Manjula Jayawardena,198937498099,0723355323,Rukmulla Central
Chinthaka Malinga,195941920260,0719739442,Ginihena East 282/B
Nipun Bandara,132297734V,0722860495,Akmeemana South 297/C
Vimal Rajitha,296408422V,0704352005,Kudamulla West
Roshan de Silva,130560352V,0747587448,Paranamulla North
Angelo Malinga,749511141V,0768633720,Ratupura West 868
Sanka Silva,196171530270,0771762914,Galkaduwa Central 710
Chamara Fernando,882336742V,0707616349,Aluthpitiya Ihala 69/C
Nipun Dickwella,195765241460,0763840721,Mundel South 872/B
Kamal Malinga,198274383641,0778894391,Kalukanda North 393/B
Sameera Senanayake,195813693182,0752947283,Kandaketiya Central 453/B
Wanindu Fernando,771461533V,0747187397,Welikanda Central 839
Sandun Fernando,195729012848,0718592897,Porativu Central 415/C
Chamara Gunawardena,797989123V,0752889817,Palledeniya 112
Ruwan Madushanka,384199292V,0777440300,Galewela North 283/C
Kumar Fonseka,198025893762,0725062179,Udaoya West 377
Danushka Kumaratunga,195379979980,0714413674,Pachchilaipalli East 68/A
Dushmantha Hasaranga,198244060313,0786568706,Puttalam South 872/B
Mangala Samarawickrama,461752285V,0769864700,Thalagama West 731
Malith Sandakan,198798624807,0707615267,Ratupitiya West 664
Nipun Jayawickrama,554838704V,0768457894,Digamulla West 358/C
Ajith Dananjaya,251385499V,0712017787,Batapitiya North 95/B
Wanindu Muralitharan,806212549V,0729265848,Kiriella 18/A
Sujith Dickwella,110440157V,0789220054,Batuhena Ihala 749/B
Samantha Herath,468039065V,0742599575,Ratuwatta Pahala 22/C
Nalin Shanaka,948883898V,0775756984,Velanai Pahala 393/C
Chandana Gunaratne,451099210V,0705741435,Paranawela South 340
Upul Fernando,373693532V,0724172526,Ihalatota Pahala 498
Dasun Malinga,199894060550,0783779007,Mihintale Ihala 656/A
Priyantha Gunaratne,212913915V,0751472187,Waligama Ihala 863
Danushka Jayawickrama,197389703530,0747382494,Walapane Pahala 765/A
Wasantha Chandimal,199216069214,0786173987,Thalagala West 877
Sahan Lakmal,255954444V,0779164868,Ratugama Pahala 650/C
Amila Dananjaya,549572986V,0769425556,Galgamuwa Central 636
Sunimal Mendis,180108052V,0714765732,Medawachchiya 871/A
Dilshan Shanaka,138210183V,0727059002,Pahalamulla 179/C
Sujith Jayawardena,668437523V,0757258006,Vavuniya North Pahala 643/C
Susil Karunaratne,423248161V,0722986224,Point Pedro Pahala 110/C
Chaminda Fonseka,360864155V,0713304387,Mahiyanganaya East 106/A
Kasun Sirisena,840836943V,0716776348,Thawalama Pahala
Kelum Asalanka,196077276474,0723494625,Ukuwela East 126/B
Dilshan Vandersay,197676320343,0744962982,Eheliyagoda West 135/A
Priyantha Thirimanne,861427494V,0722888361,Kaluhena Pahala
Tharindu Rajitha,192459481V,0727062025,Udapalatha 11/A
Heshan Fernando,457860586V,0748493649,Ratugamuwa 851/C
Chamika Senanayake,249803889V,0718034768,Agalawatta Ihala 32/B
Sujith Hasaranga,378509524V,0715441333,Thalagala Central 599
Kasun Jayawardena,228275920V,0774127303,Kataragama South
Anil Embuldeniya,345600883V,0788902721,Minuwangoda Ihala 155/A
Samantha Atapattu,195427578341,0716327895,Ambalantota Pahala 781
Kelum Dickwella,601031706V,0784393291,Aluthtota 291/A
Anil Samarawickrama,198246367723,0723939619,Mutur 410/C
Asanka Bandara,196391559625,0749011975,Eheliyagoda Pahala
Malith Atapattu,195645200667,0723169145,Monaragala
Angelo Herath,199334594422,0758301659,Kalugama West 404/B
Rumesh Rajitha,985500194V,0707043205,Digapitiya North
Nilantha Samarawickrama,198277686326,0783378810,Udunuwara Central 149/C
Ajith Chameera,196519447528,0779516702,Medamulla East 199
Bimal Sirisena,196554349453,0764822327,Kaluoya 601/B
Sudeepa Vandersay,530792532V,0766905763,Galdeniya Pahala
Isuru Madushanka,678588246V,0748478054,Yatinuwara South
Chamara Gunawardena,524897349V,0774727271,Batugama Pahala 402/B
Indika Kumaratunga,196548378304,0742259652,Kalupura South 793/A
Nilantha Dissanayake,198696708331,0721334689,Maha Oya South 919/A
Namal Muralitharan,744279537V,0714044808,Rukpitiya Ihala
Chandana Karunaratne,196932150464,0768177886,Palleoya Central 490/A
Asela Thirimanne,196125103536,0708479501,Hikkaduwa Central
Prasanna Perera,198912000489,0742691194,Habaraduwa Central 566/C
Chathura Liyanage,999122437V,0777099097,Thalapitiya South 668/A
Maheesh Liyanage,257752932V,0779196665,Batakumbura Central 125/A
Janaka Sandakan,197916135695,0715918806,Katana Central
Wanindu Jayawardena,195730746569,0724055945,Kuchchaveli West 49/B
Kavindu Silva,434692161V,0721910087,Padaviya North
Tharindu Dananjaya,745093534V,0752893840,Pahalagama Pahala 288
Sampath Malinga,975903108V,0768232075,Balangoda West
Dasun Madushanka,197329533668,0772568031,Batukaduwa Central
Thushara Thirimanne,295393735V,0771371870,Kalutota South 584/C
Pradeep Wickremesinghe,195635232766,0742623151,Pallama North 701/C
Yasas Theekshana,197430984746,0744310130,Kundasale Ihala 392/A
Sunimal Wellalage,196821998000,0764237479,Sandilipay Pahala
Lahiru Gunawardena,602710722V,0773575657,Lankapura Central 521
Isuru Rajapaksa,196146283491,0728617675,Batugamuwa Central 775/B
Krishantha Theekshana,199654086029,0775056608,Yatinuwara Central 912/A
Yasas de Silva,928144841V,0777147439,Udakaduwa South 325/A
Danushka Senanayake,197714837499,0713097279,Ambalantota East 285
Charith Dickwella,200276800699,0767416390,Maha Oya Central 31/B
Janaka Theekshana,175702758V,0782526293,Wellawaya South 116/A
Dushmantha Kumaratunga,196443846065,0743447245,Medakanda Ihala 225/A
Susil Udana,196344945368,0745854381,Ratugedara Central 811/C
Nipun Malinga,648432005V,0714300233,Hakmana Pahala 569
Charith Muralitharan,200126860647,0775831020,Ginikaduwa Central 814/A
Thushara Fernando,498697706V,0783782997,Hingurawatta Ihala 922/C
Indika Chandimal,199735173491,0725379791,Kesbewa East
Charith Jayasuriya,199384968601,0777206270,Digawela 82/B
Krishantha Chameera,198083677842,0745077773,Uva Paranagama Ihala 83
Sunil Chameera,198224500644,0745213912,Lahugala South 609/A
Sunimal Liyanage,328809376V,0769321443,Medaoya North 867/C
Nishantha Perera,822891279V,0769369483,Rambukkana North 624/A
Yasas Lakmal,198848749794,0767327568,Jaffna West 347/B
Chinthaka Silva,679221015V,0723361894,Polonnaruwa West 446/B
Dasun Perera,107785964V,0704128642,Akuressa North 100
Pradeep Thirimanne,197363885536,0777331832,Walipura 435/A
Bhanuka Malinga,196549675124,0706872874,Kahatagasdigiliya East 288/B
Krishantha Mathews,198169602929,0774527832,Hatton South
Sanjeewa Fernando,266085452V,0786418850,Pahalakanda South 456/B
Sameera Vandersay,316972147V,0747790114,Lahugala East 560
Lasith Madushanka,304249307V,0705100385,Galigamuwa Pahala
Dinesh Nissanka,122008519V,0756739156,Pahalawatta North 40/A
Lahiru Kumaratunga,198222255551,0768906517,Rukmulla West 623/C
Ajith Perera,199535963888,0762533811,Chilaw Pahala
Susil Jayawardena,968030859V,0776703700,Galpura Ihala
Mahela Wellalage,197846341081,0772943651,Oddusuddan Ihala 9/B
Sampath Gunaratne,564578650V,0753296543,Aluthwatta West 59/A
Dasun Fonseka,197733389735,0706810595,Kalupitiya South
Mangala Lakmal,195987497837,0727774273,Pallekaduwa East
Kelum Karunaratne,197784750941,0755441877,Giniwatta Central 247/C
Sameera Thirimanne,720897583V,0741042027,Kamburupitiya South
Kumar Senanayake,196574030575,0789265401,Pelmadulla Central
Amal Madushanka,195843790413,0788975568,Kalugama West 58/A
Angelo Herath,200188461053,0704495872,Ruktota Pahala
Isuru Jayawickrama,669421054V,0724787699,Hinguragedara Ihala
Rumesh de Silva,998267873V,0729463010,Deraniyagala 86/B
Dilshan Gunaratne,199786567837,0786567920,Hali-Ela South 263/B
Nipun Asalanka,195996509653,0787788698,Mahiyanganaya North 54
Roshan Wickremesinghe,197928951473,0701794512,Ihalapitiya Pahala 924/B
Kasun Madushanka,199889568220,0702599148,Digagama West 64
Susantha Chameera,479405502V,0783458709,Digawela 72
Dinesh Malinga,198628863673,0704474861,Point Pedro East
Upul Muralitharan,349640200V,0759320211,Tissamaharama Central
Wanindu Embuldeniya,199839804350,0768933456,Oddusuddan 505
Chandana Karunaratne,197631626639,0742583851,Rajanganaya 400/A
Chinthaka Rajapaksa,198292366735,0773440795,Mahahena West 932/B
Manjula Dissanayake,198189173719,0766416207,Batupitiya East
Lahiru Jayasuriya,200277763128,0752357352,Lankapura West 661
Kamal Fonseka,195790493588,0777532207,Katuwana East 769
Nalin Chandimal,197553668133,0769081752,Sudupitiya East 426/C
Asela Nissanka,720089203V,0779130116,Ginipura East 378/A
Sampath Karunaratne,160652962V,0714639700,Ratuhena South
Randika Wellalage,200356155180,0761701195,Rukkanda West 486/C
Chaminda Madushanka,815646907V,0777768858,Galigamuwa North
Samantha Udana,761830694V,0724543812,Nawalagala
Lasith Perera,627667143V,0726495965,Soranathota West
Upul Chandimal,196496015416,0784912199,Lunugala South 128/B
Rumesh Bandaranaike,115624547V,0755794754,Mahapura Pahala 79/B
Yasas Rajitha,661351180V,0758149877,Mahakumbukkadawala South 36
Pubudu Mathews,198671960442,0784945270,Digagala Ihala 367/C
Gayan Perera,384016321V,0777932253,Kudakumbura 132/A
Dilshan Jayawickrama,965791462V,0714743386,Pallama Central 719/B
Mahela Muralitharan,198974184994,0787681888,Beruwala East 767
Nuwan Dickwella,197264459764,0764680497,Udagala Ihala
Pubudu Lakmal,195650001937,0715223597,Harispattuwa Pahala 950
Sanath Embuldeniya,696796959V,0711447897,Mahawewa Pahala 270
Kelum Karunaratne,198919862333,0765826702,Digaoya Ihala 710/A
Malith Hasaranga,986421697V,0786835699,Waligala South 657/B
Lasantha Asalanka,197156949555,0712462452,Sudupitiya East 815
Thilak Dananjaya,197096354766,0774076283,Kudadeniya Ihala 75/B
Kusal Wellalage,198467406088,0749264122,Digapitiya East 918/A
Nipun Senanayake,111878020V,0727047039,Giriulla South 596/C
Gayan Jayasuriya,200496689542,0755881097,Kaluhena East 281
Kusal Senanayake,290631735V,0766287032,Ratuhena
Chamara Bandaranaike,818266184V,0748555261,Walihena Pahala 56/A
Sanka Fernando,990554557V,0704879798,Lankapura Ihala
Charith Vandersay,198176381751,0743507290,Sudugala Central
Indika de Silva,167803260V,0704338685,Pahalakaduwa South 666/B
Rumesh de Silva,197885708612,0782132077,Batugedara East 650
Priyantha Embuldeniya,199117638053,0713119540,Porativu 481/A
Nishantha Fonseka,830387166V,0724484043,Anuradhapura West
Sujith Malinga,197567900881,0747796914,Neluwa Ihala 289/C
Priyantha Jayawardena,715870834V,0749993445,Udunuwara West 952/C
Malith Bandaranaike,822860871V,0746375689,Angunakolapelessa South 318/C
Anil Muralitharan,200076622896,0712594230,Hambantota South
Wasantha Bandara,197444675277,0764591968,Kataragama East 731/A
Vimal Chameera,796991270V,0778045415,Nawalawatta
Janaka Hasaranga,757395024V,0758825745,Udahena East
Kapila Atapattu,196217120700,0705931393,Digawatta Pahala 716/A
Mahela Herath,199735810718,0746050458,Welimada Pahala
Wanindu Udana,195625983299,0753200496,Aranayaka 238/B
Priyantha Rajitha,206372676V,0783146582,Kahawatta Central 366/B
Wasantha de Silva,199650440139,0709829772,Ratutota Ihala
Sunil Jayawardena,912961248V,0788566021,Sudugamuwa Central
Ruwan Chandimal,415148953V,0712935596,Pallekumbura West 899/A
Vimal Chandimal,199991631318,0718448821,Aluthdeniya Ihala 597/A
Kumara Jayawickrama,198080315193,0703623001,Biyagama Central
Anil Wickremesinghe,196365911436,0773678323,Walimulla Central
Sahan Vandersay,277662299V,0708147753,Ukuwela Central 269/C
Thilak Senanayake,451580480V,0746554589,Ratugama South 669
Sahan Jayawardena,196474393020,0742931473,Arachchikattuwa Ihala 923/A
Nuwan Chameera,760038620V,0756949528,Medagedara South
Sameera Malinga,200094351303,0762899500,Kalawana Ihala 282/B
Kumara Gunaratne,197059370867,0715702295,Monaragala North
Danushka Asalanka,197851405804,0706900459,Galwatta Central 895/C
Mahela Madushanka,629791874V,0782294070,Seethawaka Central 122/A
Heshan Madushanka,960623656V,0754917620,Medaoya West
Sandun Jayawardena,199666893164,0749070777,Okewela East 437/A
Sanath Wickremesinghe,891836865V,0705917928,Weeraketiya Central 477/C
Pubudu Premadasa,200070803524,0708497809,Nivithigala South 839/B
Nishantha Perera,195770355693,0762575471,Kudakumbura Central 578/A
Nishantha Malinga,196760627920,0789823053,Bibile
Gayan Dananjaya,793068998V,0773282001,Horana North 749
Danushka Herath,200369806839,0766652174,Jaffna North 564/B
Sanath Senanayake,199443128857,0702777211,Walihena Ihala 554/A
Krishantha Dickwella,200094017016,0773410230,Paranawela East 707/A
Vimal Liyanage,200475002100,0783547094,Samanthurai South 145/C
Randika Dissanayake,200348673951,0717718458,Giriulla Ihala 644/C
Manjula Karunaratne,200133909205,0724030683,Medatota Pahala 326/A
Mahela Chameera,199979307829,0714888313,Paranakumbura East 367/B
Darshana Madushanka,369376571V,0757112406,Giniwatta West 530/B
Nalin Mathews,163389540V,0789651682,Digaoya Pahala 251
Randika Jayawardena,488248027V,0778003403,Digawela 55/C
Sampath Samarawickrama,195375956621,0748478946,Ruwanwella South
Upul Herath,199287697039,0722412385,Sandilipay North 923
Susil Wellalage,195549753385,0714159988,Nikaweratiya East 465
Heshan Madushanka,852825106V,0782927998,Paranawela Ihala 560
Asela Hasaranga,250038542V,0728689572,Pallewela 21/A
Niroshan Chameera,515549998V,0708367630,Bulathkohupitiya East
Dilan Sandakan,199510496777,0708686260,Thalapura Central 11
Nimal Lakmal,197910815420,0746667803,Gampola Central 985/A
Ruwan Nissanka,196438010875,0776629909,Dodangoda East 490
Kusal Sirisena,196191263807,0784511815,Pahalaoya North 850/B
Kelum Liyanage,198330960337,0768808184,Ginimulla Central
Sudeepa Dananjaya,886170732V,0746048640,Hinguragala Central 699/B
Randika Wellalage,199387741621,0703995370,Wennappuwa North 166/B
Bhanuka Vandersay,196833923270,0784263226,Ginikaduwa East
Lasith Mendis,196712435379,0774686175,Karachchi South 889/B
Tharindu Vandersay,199258934243,0781607086,Nivithigala 583
Sameera Malinga,724995386V,0765610921,Bandarawela West 760/C
Chathura Theekshana,975280462V,0751781468,Gampaha North
Kasun Madushanka,196823380638,0773680701,Arachchikattuwa Pahala 596
Sudeepa Rajitha,196396978145,0701051993,Welikanda Ihala 411/B
Kamal Madushanka,199692941916,0778289863,Suduwela Ihala
Upul Thirimanne,165100121V,0773185218,Paranawatta Central 443/C
Chandana Herath,606124518V,0758652488,Rukgamuwa East 67/B
Susil Dissanayake,198377677851,0722488898,Walapane West 751/C
Kusal Udana,589046035V,0755229537,Mannar East
Charith Fonseka,196599682740,0779654798,Mahakumbura East
Dilshan Vandersay,195743877964,0788109498,Batagala Pahala 620/A
Sahan Fernando,251586489V,0743840765,Bope-Poddala Ihala
Prasanna Herath,195269271904,0765367152,Mihintale East
Sameera Perera,592699670V,0768245492,Digagamuwa Pahala
Gayan Wickremesinghe,197170526815,0728355127,Paranakaduwa West 662
Darshana Vandersay,200847892V,0767845994,Batamulla
Wanindu Perera,973594832V,0712306351,Nawalapitiya West 95/B
Kasun Malinga,215021812V,0703469223,Digaoya Pahala 108/C
Amila Jayawardena,196525010600,0755818691,Mirigama Pahala 536
Tharindu Asalanka,197355618077,0775618113,Kudaoya North 430/A
Maheesh Bandara,826213806V,0766091641,Mawathagama North
Danushka Gunawardena,510894755V,0755381156,Thampalakamam East 742/B
